date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:27	841/841	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Dec%202020%2022:10:30%20GMT	https://www.youtube.com/s/desktop/d743f786/cssbin/www-onepick.css	C:/My%20Web%20Sites/sam/www.youtube.com/s/desktop/d743f786/cssbin/www-onepick.css	(from https://www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg)
10:13:29	0/0	---M--	303	error ('See%20Other')	application/binary	date:Thu,%2024%20Dec%202020%2004:43:30%20GMT	https://www.youtube.com/channel/android-app://com.google.android.youtube/http/www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg	C:/My%20Web%20Sites/sam/www.youtube.com/channel/android-app_/com.google.android.youtube/http/www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg.7d.delayed	(from https://www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg)
10:13:30	755/755	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Dec%202020%2004:43:31%20GMT	https://www.youtube.com/channel/android-app:/com.google.android.youtube/http/www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg	C:/My%20Web%20Sites/sam/www.youtube.com/channel/android-app_/com.google.android.youtube/http/www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg.7e.delayed	(from https://www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg)
10:13:32	0/0	---M--	303	error ('See%20Other')	application/binary	date:Thu,%2024%20Dec%202020%2004:43:33%20GMT	https://www.youtube.com/channel/ios-app://544007664/vnd.youtube/www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg	C:/My%20Web%20Sites/sam/www.youtube.com/channel/ios-app_/544007664/vnd.youtube/www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg.7f.delayed	(from https://www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg)
10:13:33	755/755	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Dec%202020%2004:43:34%20GMT	https://www.youtube.com/channel/ios-app:/544007664/vnd.youtube/www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg	C:/My%20Web%20Sites/sam/www.youtube.com/channel/ios-app_/544007664/vnd.youtube/www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg.80.delayed	(from https://www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg)
10:13:34	4910/4910	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Dec%202020%2022:10:30%20GMT	https://www.youtube.com/s/desktop/d743f786/cssbin/www-main-desktop-watch-page-skeleton.css	C:/My%20Web%20Sites/sam/www.youtube.com/s/desktop/d743f786/cssbin/www-main-desktop-watch-page-skeleton.css	(from https://www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg)
10:13:35	65/65	---MCZ	200	added ('OK')	text/plain	etag:W/%225fdccdd1-3e%22	https://open.spotify.com/robots.txt		(from https://samandsounds.com/)
10:13:36	31799/31799	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2004:43:37%20GMT	https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc	C:/My%20Web%20Sites/sam/open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc.html	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:37	31534/31534	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2004:43:38%20GMT	https://open.spotify.com/track/5azI4cZMifEtFyzhjKImId	C:/My%20Web%20Sites/sam/open.spotify.com/track/5azI4cZMifEtFyzhjKImId.html	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:38	2534/2534	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Dec%202020%2004:43:39%20GMT	https://open.spotify.com/track/android-app://com.spotify.music/spotify/track/5azI4cZMifEtFyzhjKImId	C:/My%20Web%20Sites/sam/open.spotify.com/track/android-app_/com.spotify.music/spotify/track/5azI4cZMifEtFyzhjKImId.84.delayed	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:39	1240/1240	---M-Z	200	added ('OK')	application/javascript	etag:%227f851ed79d9320739acdd900ba41f18c%22	https://open.scdn.co/cdn/js/gtag.16935790.js	C:/My%20Web%20Sites/sam/open.scdn.co/cdn/js/gtag.16935790.js	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:40	54392/54392	---M-Z	200	added ('OK')	text/css	etag:%221668d1bb2d225bc1595bfc59dd976024%22	https://open.scdn.co/cdn/build/open/open.2434186b.css	C:/My%20Web%20Sites/sam/open.scdn.co/cdn/build/open/open.2434186b.css	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:40	98735/98735	---MC-	200	added ('OK')	application/javascript	date:Thu,%2024%20Dec%202020%2003:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-5784146-31	C:/My%20Web%20Sites/sam/www.googletagmanager.com/gtag/js0dc4	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:41	11092/11092	---M--	200	added ('OK')	image/png	etag:%22061034fade052b3e1c9b11182c349185%22	https://open.scdn.co/cdn/images/favicon.0c211e2e.png	C:/My%20Web%20Sites/sam/open.scdn.co/cdn/images/favicon.0c211e2e.png	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
